日期,类型,资产代码,数量,价格,金额,手续费,融资额度,货币,汇率,备注
2025/11/10,SELL,hk02318,1000,59,59000,,0,HKD,1,卖出中国平安1000股
2025/10/30,SELL,sh601318,1000,60,60000,,0,CNY,1,卖出中国平安1000股
2025/10/24,DIVIDEND,sh601318,,,6650,,0,CNY,1,中国平安分红 每10股股息9.5
2025/10/16,DIVIDEND,sz002714,,,5565.12,,0,CNY,1,牧原股份分红 每10股股息9.2752
2025/10/10,DIVIDEND,sz002415,,,3520,,0,CNY,1,海康威视分红 每10股股息4.0
2025/10/9,SELL,sz002714,1500,52.41,78615,,0,CNY,1,卖出牧原股份1500股
2025/9/26,DIVIDEND,sh603259,,,1365,,0,CNY,1,药明康德分红 每10股股息3.5
2025/9/22,SELL,hk09988,1000,160.8,160800,,0,HKD,1,卖出阿里巴巴-W1000股
2025/9/11,SELL,sz159892,15000,0.94,14070,,0,CNY,1,卖出恒生医药ETF15000股
2025/9/5,BUY,sz002415,1800,29,52200,,0,CNY,1,买入海康威视1800股
2025/9/5,BUY,sz002415,3500,29.3,102550,,0,CNY,1,买入海康威视3500股
2025/9/4,BUY,sz002415,1800,29.26,52668,,0,CNY,1,买入海康威视1800股
2025/9/4,BUY,sz002415,1700,29.88,50796,,0,CNY,1,买入海康威视1700股
2025/9/1,BUY,sh601318,1000,58.82,58820,,0,CNY,1,买入中国平安1000股
2025/7/28,SELL,sh601318,800,60.12,48096,,0,CNY,1,卖出中国平安800股
2025/7/18,SELL,sh600276,1000,59.22,59220,,0,CNY,1,卖出恒瑞医药1000股
2025/7/4,SELL,hk02318,1500,50.2,75300,,0,HKD,1,卖出中国平安1500股
2025/7/4,BUY,hk02318,1500,48.95,73425,,0,HKD,1,买入中国平安1500股
2025/7/3,SELL,usGOOG,50,180.2,9010,,0,USD,1,卖出谷歌C50股
2025/7/2,SELL,sh510330,2600,4.11,10686,,0,CNY,1,卖出沪深300ETF华夏2600股
2025/7/2,SELL,sh510310,1400,3.9,5467,,0,CNY,1,卖出沪深300ETF易方达1400股
2025/7/2,SELL,sh510310,11695,3.9,45668.97,,0,CNY,1,卖出沪深300ETF易方达11695股
2025/7/2,BUY,sh600519,100,1408,140800,,0,CNY,1,买入贵州茅台100股
2025/6/12,DIVIDEND,sz300251,,,720,,0,CNY,1,光线传媒分红 每10股股息2.0
2025/6/12,SELL,sz300251,3600,19,68400,,0,CNY,1,卖出光线传媒3600股
2025/6/9,DIVIDEND,usGOOG,,,10.5,,0,USD,1,谷歌C分红 每10股股息2.1
2025/5/27,BUY,usPDD,100,97,9700,,0,USD,1,买入拼多多100股
2025/5/23,DIVIDEND,sh600276,,,1600,,0,CNY,1,恒瑞医药分红 每10股股息2.0
2025/5/21,DIVIDEND,sh603259,,,5193.59,,0,CNY,1,药明康德分红 每10股股息13.3169
2025/5/19,BUY,hk06160,500,137,68500,,0,HKD,1,买入百济神州500股
2025/5/16,DIVIDEND,hk00700,,,3600,,0,HKD,1,腾讯控股分红 每10股股息45.0
2025/5/12,SELL,hk00700,100,518,51800,,0,HKD,1,卖出腾讯控股100股
2025/5/12,SELL,hk09988,1000,128,128000,,0,HKD,1,卖出阿里巴巴-W1000股
2025/4/30,SELL,sh600276,1000,51.28,51280,,0,CNY,1,卖出恒瑞医药1000股
2025/4/30,DIVIDEND,sh510310,,,248.81,,0,CNY,1,沪深300ETF易方达分红 每10股股息0.19
2025/4/29,SELL,hk02318,1500,46.45,69675,,0,HKD,1,卖出中国平安1500股
2025/4/29,SELL,sz159892,53000,0.62,32913,,0,CNY,1,卖出恒生医药ETF53000股
2025/4/29,BUY,sz159892,10000,0.57,5710,,0,CNY,1,买入恒生医药ETF10000股
2025/4/8,BUY,hk09988,1000,104.4,104400,,0,HKD,1,买入阿里巴巴-W1000股
2025/4/7,BUY,hk02318,2000,43.45,86900,,0,HKD,1,买入中国平安2000股
2025/4/7,DIVIDEND,hk09618,,,8,,0,HKD,1,京东集团-SW分红 每10股股息5.0
2025/4/7,BUY,sz159892,155000,0.56,86955,,0,CNY,1,买入恒生医药ETF155000股
2025/3/24,BUY,usGOOG,50,167.95,8397.5,,0,USD,1,买入谷歌C50股
2025/3/20,BUY,usPDD,50,117.68,5884,,0,USD,1,买入拼多多50股
2025/2/28,BUY,hk02318,2000,46.25,92500,,0,HKD,1,买入中国平安2000股
2025/2/28,BUY,sh600276,1800,46.45,83610,,0,CNY,1,买入恒瑞医药1800股
2025/2/26,BUY,sz159892,148000,0.57,84508,,0,CNY,1,买入恒生医药ETF148000股
2025/2/25,BUY,sz002714,1500,36.68,55020,,0,CNY,1,买入牧原股份1500股
2025/2/24,SELL,sz300251,4000,28.08,112320,,0,CNY,1,卖出光线传媒4000股
2025/2/21,BUY,sz002714,3000,36.95,110850,,0,CNY,1,买入牧原股份3000股
2025/2/18,BUY,sz002714,1500,37.88,56820,,0,CNY,1,买入牧原股份1500股
2025/2/17,BUY,sz159892,120000,0.53,63360,,0,CNY,1,买入恒生医药ETF120000股
2025/2/17,BUY,sz002714,1500,37.48,56220,,0,CNY,1,买入牧原股份1500股
2025/2/17,SELL,sz300251,3600,41.66,149976,,0,CNY,1,卖出光线传媒3600股
2025/2/14,SELL,sz300251,3800,34.6,131480,,0,CNY,1,卖出光线传媒3800股
2025/2/13,BUY,usPDD,150,120.01,18001.5,,0,USD,1,买入拼多多150股
2025/2/13,SELL,sz300251,5000,28.8,144000,,0,CNY,1,卖出光线传媒5000股
2025/2/12,SELL,sz300251,5000,23.89,119450,,0,CNY,1,卖出光线传媒5000股
2025/2/11,SELL,sz300251,10000,19.2,192000,,0,CNY,1,卖出光线传媒10000股
2025/2/6,SELL,sz300251,5000,13.6,68000,,0,CNY,1,卖出光线传媒5000股
2025/2/6,SELL,sz300251,5000,13,65000,,0,CNY,1,卖出光线传媒5000股
2025/2/6,SELL,sz300251,4700,12.8,60160,,0,CNY,1,卖出光线传媒4700股
2025/2/4,SELL,hk02318,1000,44.2,44200,,0,HKD,1,卖出中国平安1000股
2025/2/3,BUY,hk02318,1000,42,42000,,0,HKD,1,买入中国平安1000股
2025/1/13,DIVIDEND,sh510330,,,171.6,,0,CNY,1,沪深300ETF华夏分红 每10股股息0.66
2025/1/3,BUY,sh510330,2600,4.12,10699,,0,CNY,1,买入沪深300ETF华夏2600股
2025/1/3,BUY,sh510310,13095,3.86,50585.99,,0,CNY,1,买入沪深300ETF易方达13095股
2025/1/3,BUY,hk09618,16,136,2176,,0,HKD,1,买入京东集团-SW16股
2025/1/3,BUY,hk09988,1000,82.4,82400,,0,HKD,1,买入阿里巴巴-W1000股
2025/1/1,BUY,usPDD,300,96.99,29097,,0,USD,1,买入拼多多300股
2025/1/1,BUY,hk00700,900,417,375300,,0,HKD,1,买入腾讯控股900股
2025/1/1,BUY,hk03690,80,151.7,12136,,0,HKD,1,买入美团-W80股
2025/1/1,BUY,hk02318,2500,46.05,115125,,0,HKD,1,买入中国平安2500股
2025/1/1,BUY,sh601318,6800,52.65,358020,,0,CNY,1,买入中国平安6800股
2025/1/1,BUY,sz300251,49700,9.44,469168,,0,CNY,1,买入光线传媒49700股
2025/1/1,BUY,sh600276,7200,45.9,330480,,0,CNY,1,买入恒瑞医药7200股
2025/1/1,BUY,sz159892,120000,0.48,57840,,0,CNY,1,买入恒生医药ETF120000股
2025/1/1,BUY,sh603259,3900,55.04,214656,,0,CNY,1,买入药明康德3900股
