日期,类型,资产代码,数量,价格,金额,手续费,融资额度,货币,汇率,备注
2025-01-10,DEPOSIT,,,,100000,,,,CNY,1,初始资金10万元
2025-01-11,BUY,sh600519,50,1800.00,,90.00,0,CNY,1,买入贵州茅台50股
2025-01-12,BUY,hk00700,100,380.00,,190.00,0,HKD,0.92,买入腾讯控股100股
2025-01-13,BUY,usAAPL,20,180.50,,1.81,0,USD,7.2,买入苹果20股
2025-01-15,SELL,sh600519,20,1850.00,,92.50,0,CNY,1,卖出茅台20股获利
2025-01-16,DIVIDEND,sh600519,,,1000,,,CNY,1,茅台年度分红
2025-01-20,LEVERAGE_ADD,,,,50000,,,CNY,1,增加融资额度5万
2025-01-21,BUY,sz000001,1000,12.50,,12.50,20000,CNY,1,使用融资买入平安银行
2025-01-25,LEVERAGE_COST,,,,150,,,CNY,1,本月融资利息
2025-01-31,WITHDRAW,,,,10000,,,CNY,1,取出1万元

